id,total,voted_total,gender_F,gender_M,gender_U,gender_F_voted,gender_M_voted,gender_U_voted,race_A,race_B,race_I,race_M,race_O,race_P,race_U,race_W,race_A_voted,race_B_voted,race_I_voted,race_M_voted,race_O_voted,race_P_voted,race_U_voted,race_W_voted,ethnic_HL,ethnic_NL,ethnic_UN,ethnic_HL_voted,ethnic_NL_voted,ethnic_UN_voted,party_CST,party_DEM,party_GRE,party_LIB,party_REP,party_UNA,party_CST_voted,party_DEM_voted,party_GRE_voted,party_LIB_voted,party_REP_voted,party_UNA_voted
05-06,5239,4385,2554,2252,433,2140,1888,357,830,173,15,32,365,0,527,3297,720,141,14,23,311,0,436,2740,105,3517,1617,87,2965,1333,1,1435,2,17,1263,2521,0,1230,1,9,1051,2094
20-08,5099,4153,2437,2176,486,2014,1767,372,327,337,3,31,253,0,547,3601,280,238,3,25,206,0,413,2988,151,3417,1531,116,2827,1210,5,1486,1,41,1342,2224,4,1222,0,32,1111,1784
20-06B,3708,3097,1809,1623,276,1529,1354,214,62,92,3,15,97,0,320,3119,50,74,2,12,75,0,254,2630,89,2584,1035,70,2179,848,2,952,1,27,1056,1670,1,818,0,24,888,1366
01-44,3802,2871,1932,1413,457,1499,1057,315,42,794,6,38,136,0,508,2278,32,529,4,26,93,0,347,1840,151,2522,1129,90,1973,808,0,1759,3,26,753,1261,0,1375,2,18,586,890
08-05,2163,1870,1058,964,141,915,840,115,39,116,2,16,48,0,175,1767,34,87,2,13,37,0,143,1554,41,1701,421,28,1499,343,2,663,1,9,667,821,1,570,0,6,586,707
16-04,2827,2287,1452,1144,231,1190,934,163,10,651,8,17,55,0,285,1801,7,515,4,12,35,0,200,1514,82,2046,699,54,1685,548,3,1112,0,21,789,902,1,931,0,9,639,707
01-07,2656,2048,1055,1154,447,829,883,336,52,86,5,27,49,0,463,1974,43,62,4,19,35,0,338,1547,63,1737,856,44,1352,652,0,1140,5,29,427,1055,0,921,3,20,305,799
12-06,4494,3520,2202,1844,448,1746,1436,338,25,518,12,29,115,0,537,3258,18,392,6,20,79,0,394,2611,166,2845,1483,111,2276,1133,4,1215,5,39,1564,1667,2,971,4,26,1273,1244
16-07,3407,2798,1714,1432,261,1435,1174,189,30,681,12,31,84,0,309,2260,23,544,8,25,65,0,225,1908,80,2553,774,58,2126,614,1,1370,1,23,870,1142,0,1162,1,14,749,872
18-08,4550,3504,2028,1918,604,1604,1473,427,178,397,10,31,213,1,671,3049,141,285,6,25,162,1,490,2394,117,3052,1381,78,2417,1009,2,1495,1,42,1074,1936,2,1174,0,28,837,1463
01-40,4559,3069,2396,1581,582,1726,1031,312,30,3201,11,45,167,0,675,430,22,2268,9,26,93,0,363,288,225,2695,1639,113,1912,1044,2,3153,1,18,190,1195,1,2306,1,8,106,647
12-08,5032,3948,2487,2021,524,1959,1599,390,66,948,13,31,160,0,637,3177,55,738,10,18,112,0,471,2544,173,3113,1746,118,2506,1324,5,1735,2,42,1448,1800,3,1385,2,36,1167,1355
13-06,3143,2590,1581,1261,301,1316,1043,231,59,443,8,19,122,0,352,2140,48,357,8,15,99,0,266,1797,116,2200,827,88,1850,652,0,1101,2,31,810,1199,0,913,1,23,676,977
20-06A,5310,4275,2585,2178,547,2121,1756,398,224,632,5,43,217,1,658,3530,199,455,4,27,167,1,477,2945,226,3336,1748,156,2769,1350,2,1752,1,32,1296,2227,1,1435,0,22,1051,1766
01-31,3926,2411,1477,1602,847,945,1002,464,101,961,18,68,156,1,981,1640,56,567,12,38,78,1,549,1110,184,2137,1605,96,1380,935,3,1681,9,48,343,1842,1,1079,8,23,231,1069
01-50,3184,2338,1593,1191,400,1271,834,233,51,2197,7,36,111,0,470,312,41,1708,6,24,67,0,286,206,139,1866,1179,85,1445,808,0,2217,1,17,136,813,0,1754,0,10,83,491
03-00,6597,5509,3048,2874,675,2596,2384,529,375,415,22,37,222,0,772,4754,321,337,18,33,188,0,615,3997,183,4349,2065,146,3688,1675,3,1680,2,44,1970,2898,2,1440,1,30,1623,2413
06-04,4358,3393,2129,1735,494,1672,1359,362,90,546,15,22,172,0,582,2931,80,429,10,15,129,0,435,2295,170,2616,1572,117,2048,1228,5,1388,6,40,1117,1802,3,1131,5,26,892,1336
06-08,2335,1933,1144,987,204,969,799,165,43,410,6,14,79,0,255,1528,34,323,6,10,65,0,210,1285,79,1525,731,61,1268,604,2,815,1,17,589,911,2,697,1,8,490,735
13-10,6117,5098,3093,2454,570,2596,2058,444,115,593,9,41,193,0,656,4510,96,462,8,35,152,0,516,3829,166,4440,1511,125,3741,1232,2,1957,5,44,1750,2359,1,1676,1,32,1461,1927
08-11,4184,3395,2043,1650,491,1698,1316,381,295,457,14,36,218,0,564,2600,248,365,13,20,175,0,424,2150,188,2730,1266,138,2239,1018,1,1427,7,27,947,1775,1,1198,4,19,774,1399
15-02,5967,4719,2812,2563,592,2272,2022,425,89,943,18,53,198,1,725,3940,72,758,13,37,132,1,512,3194,272,4104,1591,175,3330,1214,2,1857,4,38,1927,2139,0,1500,2,31,1574,1612
13-01,5927,4145,2826,2103,998,2084,1419,642,171,2546,14,68,295,2,1153,1678,139,1774,7,34,174,1,734,1282,376,3358,2193,212,2436,1497,5,3233,9,35,663,1982,3,2342,6,22,505,1267
20-01,3968,3055,1903,1643,422,1513,1242,300,180,546,10,38,213,0,508,2473,145,413,8,28,148,0,364,1949,183,2480,1305,112,1961,982,3,1339,4,42,963,1617,3,1078,3,28,743,1200
