precinct_abbrv,total,voted_total,gender_F,gender_M,gender_U,gender_F_voted,gender_M_voted,gender_U_voted,race_A,race_B,race_I,race_M,race_O,race_P,race_U,race_W,race_A_voted,race_B_voted,race_I_voted,race_M_voted,race_O_voted,race_P_voted,race_U_voted,race_W_voted,ethnic_HL,ethnic_NL,ethnic_UN,ethnic_HL_voted,ethnic_NL_voted,ethnic_UN_voted,party_CST,party_DEM,party_GRE,party_JFA,party_LIB,party_NLB,party_REP,party_UNA,party_WTP,party_CST_voted,party_DEM_voted,party_GRE_voted,party_JFA_voted,party_LIB_voted,party_NLB_voted,party_REP_voted,party_UNA_voted,party_WTP_voted
02-01,3330,2982,1611,1510,209,1473,1342,167,70,170,5,4,114,0,271,2696,57,136,4,4,97,0,221,2463,73,2459,798,62,2251,669,0,870,1,0,24,8,973,1454,0,0,786,0,0,19,6,892,1279,0
16-07,3591,3107,1769,1535,287,1571,1317,219,42,692,9,30,133,0,335,2350,36,575,7,26,103,0,254,2106,122,2564,905,90,2263,754,0,1372,1,0,21,6,817,1374,0,0,1211,1,0,18,4,743,1130,0
04-01,2319,1918,1210,906,203,1036,733,149,75,210,3,10,103,0,232,1686,65,139,2,7,74,0,166,1465,85,1511,723,58,1281,579,0,864,3,0,7,6,466,972,1,0,730,2,0,5,5,391,784,1
05-06,5644,4792,2699,2442,503,2317,2069,406,1032,211,23,24,422,0,579,3353,815,177,19,20,350,0,469,2942,136,3631,1877,117,3086,1589,0,1500,5,0,12,14,1096,3017,0,0,1308,5,0,9,12,965,2493,0
02-03,3073,2755,1438,1460,175,1324,1287,144,44,79,9,9,78,1,207,2646,35,71,9,7,69,1,174,2389,32,2396,645,24,2173,558,0,675,1,0,20,3,1055,1319,0,0,625,1,0,16,3,960,1150,0
13-02,2055,1831,1017,887,151,925,781,125,35,180,5,10,71,0,162,1592,31,139,5,10,55,0,136,1455,56,1492,507,43,1341,447,0,612,1,0,12,3,549,878,0,0,556,1,0,10,2,495,767,0
20-14,8098,6966,3745,3507,846,3242,3000,724,2239,372,67,55,747,0,930,3688,1919,314,56,47,629,0,789,3212,208,4956,2934,173,4246,2547,0,2159,2,0,38,20,1282,4596,1,0,1884,1,0,31,15,1120,3914,1
08-11,4334,3728,2147,1728,459,1883,1465,380,340,528,16,20,273,2,492,2663,278,425,13,17,217,1,404,2373,199,2754,1381,153,2411,1164,1,1396,6,1,23,14,848,2044,1,1,1230,6,0,20,10,755,1705,1
05-05,7814,6270,3711,3032,1071,3086,2368,816,459,1886,29,52,474,0,1058,3856,357,1440,19,41,359,0,799,3255,329,4551,2934,246,3678,2346,0,2923,4,1,47,46,1324,3467,2,0,2426,4,1,27,34,1089,2687,2
01-36,2742,2361,1372,1156,214,1208,976,177,52,143,3,10,71,0,229,2234,41,106,3,8,47,0,192,1964,48,1935,759,36,1685,640,0,798,0,0,24,4,871,1045,0,0,701,0,0,18,2,760,880,0
19-21,5708,4776,2755,2433,520,2390,2004,382,248,1512,13,37,389,2,636,2871,199,1265,11,28,298,1,480,2494,293,3704,1711,224,3173,1379,0,1998,4,0,41,26,1333,2306,0,0,1716,2,0,31,18,1138,1871,0
08-04,1855,1702,895,853,107,828,779,95,27,49,5,8,51,1,121,1593,25,44,5,7,47,1,105,1468,27,1392,436,25,1288,389,0,480,1,0,11,5,577,781,0,0,445,1,0,9,5,531,711,0
01-03,2159,1996,1054,957,148,983,887,126,23,24,3,7,28,0,156,1918,21,22,3,7,24,0,136,1783,31,1604,524,30,1493,473,0,665,1,0,11,1,602,879,0,0,632,1,0,10,1,555,797,0
07-06,3729,3353,1917,1579,233,1741,1429,183,62,197,3,9,89,0,275,3094,49,149,3,7,74,0,214,2857,54,2823,852,44,2586,723,0,1126,0,1,19,9,999,1575,0,0,1013,0,1,17,4,938,1380,0
04-18,2906,2468,1341,1236,329,1161,1049,258,201,258,5,18,168,0,322,1934,159,202,5,17,124,0,257,1704,103,1867,936,79,1627,762,0,955,2,0,25,8,491,1425,0,0,842,2,0,20,5,427,1172,0
12-11,3875,3272,1843,1682,350,1587,1430,255,129,424,8,14,194,0,426,2680,108,299,7,11,139,0,315,2393,190,2489,1196,129,2166,977,0,955,4,0,20,12,1151,1732,1,0,815,2,0,14,8,1036,1396,1
03-01,5323,4680,2490,2366,467,2229,2065,386,561,296,20,24,280,0,542,3600,464,247,16,19,243,0,452,3239,179,3354,1790,153,2987,1540,0,1305,0,0,38,19,1234,2727,0,0,1183,0,0,30,13,1107,2347,0
01-13,1707,1497,804,743,160,726,658,113,16,186,5,13,50,0,152,1285,13,124,3,10,39,0,101,1207,61,1138,508,48,1042,407,0,780,0,1,10,8,138,770,0,0,690,0,0,9,7,124,667,0
01-39,2661,2128,1325,1044,292,1128,812,188,44,509,3,13,123,0,301,1668,38,341,2,10,85,0,191,1461,88,1724,849,65,1440,623,0,1043,2,1,18,16,458,1122,1,0,859,2,1,11,10,389,855,1
19-07,5932,4973,2931,2410,591,2515,1996,462,115,1109,6,25,265,2,645,3765,93,853,5,20,199,2,502,3299,248,3740,1944,179,3229,1565,1,1786,6,0,40,8,1654,2436,1,1,1524,5,0,29,5,1460,1948,1
01-14,3888,3367,1826,1684,378,1639,1459,269,56,361,7,25,102,0,423,2914,47,249,6,22,86,0,301,2656,110,2578,1200,86,2311,970,0,1834,0,0,15,15,375,1649,0,0,1653,0,0,10,11,318,1375,0
01-43,2574,2012,1278,966,330,1053,755,204,38,585,3,25,121,2,359,1441,28,415,3,17,82,2,221,1244,131,1585,858,85,1299,628,0,1009,3,0,19,17,414,1112,0,0,828,3,0,13,11,362,795,0
01-37,1906,1699,932,837,137,843,758,98,25,103,1,7,40,0,163,1567,22,83,1,5,33,0,122,1433,32,1407,467,24,1281,394,0,597,1,0,10,7,488,803,0,0,553,1,0,8,3,438,696,0
07-05,1893,1613,1018,713,162,898,605,110,25,241,2,6,80,0,167,1372,16,192,2,4,60,0,120,1219,66,1325,502,52,1175,386,0,696,1,0,13,6,426,751,0,0,609,0,0,7,4,370,623,0
01-47,2167,1955,1089,951,127,1001,851,103,29,106,5,9,65,0,146,1807,26,93,4,6,52,0,119,1655,48,1622,497,41,1494,420,0,650,2,0,9,3,646,857,0,0,595,2,0,4,2,597,755,0
19-14,3297,2728,1620,1341,336,1375,1096,257,180,624,8,11,206,0,361,1907,140,514,6,9,162,0,273,1624,137,2150,1010,113,1817,798,0,1048,3,0,23,17,885,1321,0,0,887,3,0,15,14,765,1044,0
01-02,1904,1638,904,753,247,809,646,183,28,56,1,11,45,0,272,1491,22,37,0,7,39,0,207,1326,28,1267,609,23,1116,499,0,765,2,0,9,6,271,851,0,0,702,2,0,7,6,222,699,0
08-03,6530,5353,3181,2633,716,2698,2110,545,263,1163,23,47,343,2,758,3931,197,882,19,37,245,1,578,3394,276,4066,2188,199,3406,1748,0,2247,5,1,47,33,1264,2931,2,0,1876,5,1,37,24,1080,2329,1
04-05,3779,3316,1737,1749,293,1567,1519,230,348,202,5,18,273,0,344,2589,287,167,3,18,202,0,274,2365,100,2621,1058,79,2354,883,0,1180,2,0,29,10,744,1814,0,0,1066,1,0,24,6,660,1559,0
13-08,3764,2711,1880,1341,543,1460,932,319,93,1679,6,41,355,0,682,908,67,1266,4,29,212,0,396,737,440,1834,1490,264,1417,1030,0,1875,6,3,28,26,391,1433,2,0,1451,4,3,12,16,312,911,2
04-10,2842,2504,1350,1257,235,1220,1107,177,177,151,4,13,157,0,266,2074,153,132,3,12,124,0,208,1872,87,1944,811,70,1747,687,0,894,1,0,18,7,543,1379,0,0,811,1,0,11,6,490,1185,0
01-34,2254,1185,915,748,591,620,442,123,9,1033,3,28,40,1,649,491,9,561,0,14,26,1,147,427,48,1039,1167,25,741,419,0,1119,2,0,8,9,69,1047,0,0,759,0,0,7,5,42,372,0
08-10,2949,2517,1457,1241,251,1293,1040,184,109,415,3,22,159,0,250,1991,89,333,2,14,126,0,188,1765,126,1975,848,96,1736,685,0,977,3,0,10,11,597,1351,0,0,853,3,0,6,8,540,1107,0
10-01,1388,1165,668,601,119,579,501,85,22,221,3,4,62,0,152,924,19,175,3,4,43,0,105,816,77,962,349,51,844,270,0,337,0,1,6,10,543,490,1,0,284,0,1,3,6,486,384,1
17-10,1388,1052,678,527,183,551,397,104,56,419,4,7,128,0,238,536,46,321,3,6,91,0,142,443,142,757,489,92,621,339,0,615,0,0,7,8,238,520,0,0,494,0,0,5,6,202,345,0
08-06,2226,1715,1093,843,290,886,637,192,33,527,2,15,119,0,306,1224,29,379,1,12,80,0,201,1013,123,1300,803,83,1034,598,1,938,2,0,23,18,294,949,1,0,755,2,0,18,11,230,698,1
01-05,1196,1093,609,527,60,558,489,46,6,18,1,3,17,0,83,1068,5,8,1,2,16,0,68,993,7,927,262,5,853,235,0,393,0,0,2,2,359,440,0,0,360,0,0,2,1,328,402,0
01-19,2060,1252,921,768,371,658,468,126,7,1219,6,15,78,2,478,255,4,809,5,9,43,0,184,198,94,1034,932,45,740,467,0,1238,0,0,7,14,73,728,0,0,899,0,0,3,4,30,316,0
01-46,2978,1869,1384,1081,513,988,669,212,70,1366,7,30,230,1,684,590,52,888,2,19,123,0,312,473,311,1435,1232,154,1022,693,2,1470,3,0,25,16,243,1216,3,0,1069,1,0,17,12,172,595,3
01-22,4267,2987,2070,1516,681,1657,1023,307,38,2803,14,25,208,1,798,380,32,2134,8,14,115,1,386,297,257,2227,1783,137,1746,1104,0,2615,3,2,19,20,141,1467,0,0,2092,3,0,11,12,92,777,0
13-05,2583,1939,1328,890,365,1063,640,236,52,1012,3,25,151,0,415,925,42,715,3,23,111,0,266,779,160,1391,1032,122,1085,732,0,1224,3,0,41,13,297,1004,1,0,965,3,0,29,8,242,692,0
16-09,5665,4683,2723,2299,643,2327,1875,481,156,1817,20,35,326,0,690,2621,126,1517,18,25,231,0,508,2258,324,3517,1824,225,2985,1473,0,2248,1,2,32,31,1130,2220,1,0,1925,1,2,26,21,990,1717,1
20-15,5254,4342,2355,2142,757,1982,1719,641,1014,748,41,26,407,2,764,2252,842,597,31,21,317,2,649,1883,217,2937,2100,161,2418,1763,0,1668,7,0,37,16,718,2807,1,0,1440,5,0,25,13,574,2284,1
