precinct_abbrv,total,voted_total,gender_F,gender_M,gender_U,gender_F_voted,gender_M_voted,gender_U_voted,race_A,race_B,race_I,race_M,race_O,race_U,race_W,race_A_voted,race_B_voted,race_I_voted,race_M_voted,race_O_voted,race_U_voted,race_W_voted,ethnic_HL,ethnic_NL,ethnic_UN,ethnic_HL_voted,ethnic_NL_voted,ethnic_UN_voted,party_DEM,party_LIB,party_REP,party_UNA,party_DEM_voted,party_LIB_voted,party_REP_voted,party_UNA_voted
18-07,3153,0,1577,1498,78,0,0,0,35,230,10,11,75,123,2669,0,0,0,0,0,0,0,71,2432,650,0,0,0,864,24,1230,1035,0,0,0,0
15-03,4315,0,2206,2003,106,0,0,0,13,441,15,20,94,155,3577,0,0,0,0,0,0,0,110,3341,864,0,0,0,1122,26,1774,1393,0,0,0,0
07-01,1639,343,857,713,69,189,153,1,16,261,2,23,69,100,1168,2,17,0,2,5,5,312,72,1215,352,3,313,27,679,14,402,544,178,1,66,98
16-07,3105,183,1687,1348,70,96,85,2,33,673,11,31,77,110,2170,0,55,1,0,3,6,118,70,2415,620,3,154,26,1308,11,858,928,101,0,43,39
01-37,1715,507,880,801,34,261,243,3,11,103,2,5,33,61,1500,3,32,1,0,8,5,458,19,1429,267,0,461,46,639,12,518,546,258,1,108,140
12-05,6990,369,3581,3232,177,203,162,4,102,563,11,36,166,298,5814,2,14,0,2,4,6,341,184,5071,1735,2,287,80,1753,48,2691,2498,94,0,127,148
19-07,2943,364,1556,1238,149,209,151,4,26,735,5,24,81,179,1893,1,107,0,5,4,12,235,68,2183,692,5,299,60,1056,28,977,882,170,1,98,95
07-02,1541,344,799,692,50,182,158,4,39,202,6,12,42,61,1179,4,41,3,4,6,8,278,25,1205,311,2,290,52,577,9,476,479,172,0,98,74
01-38,2191,518,1107,985,99,285,220,13,48,583,7,30,121,184,1218,2,126,1,2,10,26,351,134,1560,497,9,420,89,1120,19,351,701,334,3,60,121
10-04,6317,79,3381,2709,227,37,40,2,55,2310,22,74,196,388,3272,0,11,0,0,3,5,60,283,4537,1497,1,55,23,2961,33,1595,1728,25,1,23,30
15-01,3938,0,1981,1850,107,0,0,0,21,491,17,20,88,185,3116,0,0,0,0,0,0,0,96,2980,862,0,0,0,1170,32,1504,1232,0,0,0,0
01-13,1507,562,761,687,59,285,263,14,12,248,1,7,26,67,1146,4,65,1,2,10,20,460,22,1115,370,4,445,113,739,9,191,568,318,0,37,207
19-16,2499,151,1278,1154,67,85,65,1,25,641,5,18,76,114,1620,0,102,0,0,3,4,42,89,1902,508,0,116,35,983,15,778,723,102,0,17,32
07-07A,571,316,398,167,6,220,95,1,1,1,0,2,1,11,555,0,0,0,1,0,4,311,1,465,105,1,270,45,273,1,185,112,166,1,87,62
07-03,1493,449,759,702,32,236,211,2,21,88,2,10,18,51,1303,3,26,2,3,4,7,404,14,1231,248,2,396,51,524,2,471,496,231,0,90,128
12-02,4125,415,2153,1822,150,223,184,8,35,769,11,35,145,228,2902,3,75,0,1,3,10,323,181,2789,1155,5,310,100,1356,49,1321,1399,155,3,139,118
17-03,5813,910,3224,2372,217,566,333,11,156,2108,19,66,228,353,2883,3,518,3,7,11,28,340,236,4149,1428,8,679,223,2834,38,1137,1804,627,2,87,194
01-51,1043,272,584,424,35,160,110,2,12,73,0,7,16,34,901,1,9,0,0,1,3,258,14,865,164,0,246,26,387,6,314,336,137,0,68,67
06-10,2789,150,1404,1325,60,87,61,2,35,319,11,21,92,117,2194,2,26,0,0,5,6,111,93,1991,705,2,114,34,749,20,1012,1008,59,0,32,59
04-03,1914,0,974,861,79,0,0,0,39,302,2,20,107,105,1339,0,0,0,0,0,0,0,90,1386,438,0,0,0,724,6,460,724,0,0,0,0
20-05,3787,20,1910,1766,111,10,9,1,155,168,10,19,149,121,3165,0,4,0,0,0,0,16,42,2848,897,0,18,2,941,22,1353,1471,8,0,6,6
01-42,2766,677,1461,1245,60,360,311,6,44,187,4,13,86,103,2329,6,41,0,1,14,16,599,29,2268,469,2,599,76,812,7,1090,857,257,1,225,194
08-05,1986,160,1006,937,43,87,73,0,32,111,2,10,46,68,1717,3,22,0,2,4,3,126,39,1642,305,4,134,22,597,5,693,691,82,1,25,52
13-08,2494,311,1388,975,131,205,102,4,48,1261,9,35,154,234,753,0,222,1,2,6,9,71,207,1542,745,2,234,75,1460,11,292,731,224,1,21,65
11-01,4400,551,2289,1879,232,316,227,8,97,492,16,42,154,299,3300,3,59,3,5,10,26,445,102,3166,1132,12,434,105,1509,46,1122,1723,300,4,91,156
04-12,2611,0,1346,1208,57,0,0,0,69,98,2,18,92,90,2242,0,0,0,0,0,0,0,49,2046,516,0,0,0,836,8,762,1005,0,0,0,0
01-15,1884,452,1014,817,53,248,203,1,15,127,1,13,52,77,1599,0,25,0,0,7,6,414,54,1486,344,5,402,45,723,17,600,544,235,1,118,98
13-05,1897,182,1066,702,129,111,66,5,27,744,6,19,88,178,835,2,73,0,2,4,11,90,106,1222,569,3,131,48,947,16,341,593,115,0,30,37
01-17,986,252,511,450,25,129,120,3,11,22,0,2,19,37,895,3,3,0,0,3,10,233,15,783,188,4,215,33,320,6,365,295,123,0,74,55
01-05,1037,424,542,470,25,221,198,5,3,26,1,2,8,46,951,0,11,0,1,2,16,394,4,842,191,1,368,55,406,1,367,263,215,0,122,87
07-05,1682,378,951,684,47,213,162,3,9,237,2,10,50,82,1292,1,72,0,2,4,13,286,44,1326,312,4,319,55,638,12,498,534,197,0,86,95
02-02,5218,0,2604,2489,125,0,0,0,91,273,15,29,133,190,4487,0,0,0,0,0,0,0,63,4228,927,0,0,0,1236,34,2087,1861,0,0,0,0
01-39,2472,451,1352,1020,100,262,184,5,28,556,6,30,87,160,1605,2,99,1,3,12,15,319,56,1852,564,0,384,67,1123,19,491,839,268,1,61,121
01-35,2294,459,1224,923,147,295,159,5,10,1855,8,22,58,200,141,0,417,1,1,5,11,24,86,1413,795,0,344,115,1729,13,48,504,402,0,7,50
07-13,1981,495,1114,808,59,294,196,5,28,278,2,14,49,89,1521,0,76,0,2,8,12,397,55,1576,350,10,420,65,747,14,549,671,258,1,95,141
17-04,6061,307,3162,2671,228,185,114,8,93,2257,13,80,236,382,3000,1,190,1,1,7,7,100,305,4340,1416,6,222,79,2895,33,1391,1742,222,0,27,58
