id,total,voted_total,gender_F,gender_M,gender_U,gender_F_voted,gender_M_voted,gender_U_voted,race_A,race_B,race_I,race_M,race_O,race_U,race_W,race_A_voted,race_B_voted,race_I_voted,race_M_voted,race_O_voted,race_U_voted,race_W_voted,ethnic_HL,ethnic_NL,ethnic_UN,ethnic_HL_voted,ethnic_NL_voted,ethnic_UN_voted,party_CST,party_DEM,party_GRE,party_LIB,party_REP,party_UNA,party_CST_voted,party_DEM_voted,party_GRE_voted,party_LIB_voted,party_REP_voted,party_UNA_voted
20-03,3472,653,1773,1529,170,334,300,19,96,126,4,13,113,215,2905,6,16,0,0,7,20,604,80,2556,836,7,525,121,2,912,3,22,1095,1438,0,252,0,3,180,218
20-15,3736,0,1823,1574,339,0,0,0,602,508,23,22,284,395,1902,0,0,0,0,0,0,0,129,2368,1239,0,0,0,1,1236,2,34,689,1774,0,0,0,0,0,0
01-22,3820,1,2089,1452,279,0,1,0,35,3030,13,34,99,362,247,0,1,0,0,0,0,0,175,2409,1236,0,1,0,0,2770,2,12,95,941,0,1,0,0,0,0
04-01,2108,0,1202,816,90,0,0,0,49,219,4,7,72,123,1634,0,0,0,0,0,0,0,59,1516,533,0,0,0,1,827,1,10,473,796,0,0,0,0,0,0
04-03,2044,0,1008,912,124,0,0,0,50,288,1,23,136,156,1390,0,0,0,0,0,0,0,102,1458,484,0,0,0,2,789,2,16,426,809,0,0,0,0,0,0
01-11,2308,0,1154,1084,70,0,0,0,20,20,0,1,28,100,2139,0,0,0,0,0,0,0,25,1890,393,0,0,0,0,635,0,9,1008,656,0,0,0,0,0,0
18-06,3834,0,1865,1673,296,0,0,0,184,495,13,46,196,403,2497,0,0,0,0,0,0,0,131,2631,1072,0,0,0,1,1462,3,36,668,1664,0,0,0,0,0,0
16-07,3131,967,1676,1333,122,534,416,17,30,649,13,24,84,157,2174,5,193,6,5,15,26,717,71,2449,611,11,805,151,1,1285,0,15,842,988,0,488,0,2,280,197
17-02,1368,90,714,574,80,47,39,4,12,330,2,21,50,124,829,1,40,0,1,0,4,44,72,942,354,0,71,19,3,542,0,6,349,468,0,56,0,0,13,21
01-27,1985,0,863,975,147,0,0,0,28,299,9,24,59,188,1378,0,0,0,0,0,0,0,77,1349,559,0,0,0,2,965,2,16,187,813,0,0,0,0,0,0
05-01,3935,267,1995,1694,246,146,107,14,263,457,11,28,220,306,2650,19,33,0,2,14,16,183,129,2680,1126,7,181,79,1,1245,5,30,969,1685,0,131,0,1,27,108
17-12,3050,191,1670,1182,198,127,63,1,88,1374,8,33,140,294,1113,2,127,1,3,1,6,51,168,2027,855,0,135,56,4,1599,1,8,480,958,0,135,0,0,16,40
01-46,2850,0,1525,1067,258,0,0,0,49,1608,9,37,168,393,586,0,0,0,0,0,0,0,249,1628,973,0,0,0,4,1696,1,21,238,890,0,0,0,0,0,0
