id,total,voted_total,gender_F,gender_M,gender_U,gender_F_voted,gender_M_voted,gender_U_voted,race_A,race_B,race_I,race_M,race_O,race_P,race_U,race_W,race_A_voted,race_B_voted,race_I_voted,race_M_voted,race_O_voted,race_P_voted,race_U_voted,race_W_voted,ethnic_HL,ethnic_NL,ethnic_UN,ethnic_HL_voted,ethnic_NL_voted,ethnic_UN_voted,party_DEM,party_GRE,party_LIB,party_NLB,party_REP,party_UNA,party_DEM_voted,party_GRE_voted,party_LIB_voted,party_NLB_voted,party_REP_voted,party_UNA_voted
04-10,2743,0,1332,1221,190,0,0,0,169,130,3,13,141,1,226,2060,0,0,0,0,0,0,0,0,74,1960,709,0,0,0,827,0,16,0,573,1327,0,0,0,0,0,0
01-30,1304,0,646,590,68,0,0,0,17,23,1,2,15,0,89,1157,0,0,0,0,0,0,0,0,17,1011,276,0,0,0,423,0,11,0,347,523,0,0,0,0,0,0
20-16,4637,647,2218,1836,583,313,265,69,689,841,19,21,394,0,604,2069,147,82,6,3,63,0,77,269,218,2627,1792,17,370,260,1647,1,37,2,635,2315,261,0,1,0,55,330
13-02,1981,0,985,860,136,0,0,0,34,179,6,9,58,0,152,1543,0,0,0,0,0,0,0,0,46,1480,455,0,0,0,587,1,12,0,539,842,0,0,0,0,0,0
01-14,3516,1,1665,1552,299,0,1,0,48,334,5,19,85,0,325,2700,0,0,0,0,0,0,0,1,89,2472,955,0,1,0,1737,0,13,3,349,1414,1,0,0,0,0,0
04-01,2269,0,1210,886,173,0,0,0,62,218,3,11,91,0,202,1682,0,0,0,0,0,0,0,0,72,1546,651,0,0,0,857,1,10,2,462,937,0,0,0,0,0,0
08-04,1806,0,880,833,93,0,0,0,23,49,5,8,42,1,105,1573,0,0,0,0,0,0,0,0,22,1408,376,0,0,0,478,0,12,0,570,746,0,0,0,0,0,0
04-11,1622,0,771,694,157,0,0,0,84,201,5,15,132,1,192,992,0,0,0,0,0,0,0,0,108,1001,513,0,0,0,592,1,13,1,251,764,0,0,0,0,0,0
07-12,2645,0,1344,1085,216,0,0,0,36,365,7,14,114,0,244,1865,0,0,0,0,0,0,0,0,120,1826,699,0,0,0,1051,2,20,1,557,1014,0,0,0,0,0,0
16-05,2535,113,1258,1069,208,59,51,3,30,474,9,19,126,0,253,1624,1,13,0,0,3,0,2,94,144,1757,634,0,103,10,919,1,24,1,606,984,55,0,0,0,20,38
01-49,2824,0,1273,1082,469,0,0,0,74,761,4,38,177,0,484,1286,0,0,0,0,0,0,0,0,149,1635,1040,0,0,0,1192,2,32,2,320,1276,0,0,0,0,0,0
01-05,1154,0,586,514,54,0,0,0,5,17,0,2,18,0,73,1039,0,0,0,0,0,0,0,0,7,911,236,0,0,0,395,0,4,0,354,401,0,0,0,0,0,0
20-01,3805,392,1872,1618,315,211,161,20,200,497,10,21,274,0,387,2416,10,29,2,1,20,0,20,310,220,2382,1203,9,288,95,1278,0,34,2,846,1645,169,0,2,0,96,125
01-17,1048,0,531,465,52,0,0,0,17,33,1,4,13,0,65,915,0,0,0,0,0,0,0,0,13,791,244,0,0,0,312,0,9,0,329,398,0,0,0,0,0,0
19-13,2210,0,1150,832,228,0,0,0,55,450,6,20,108,0,236,1335,0,0,0,0,0,0,0,0,100,1454,656,0,0,0,810,2,17,0,517,864,0,0,0,0,0,0
01-10,1557,0,774,706,77,0,0,0,10,17,0,4,11,1,92,1422,0,0,0,0,0,0,0,0,9,1216,332,0,0,0,589,0,10,0,343,615,0,0,0,0,0,0
07-13,2219,0,1154,899,166,0,0,0,42,306,3,13,71,0,207,1577,0,0,0,0,0,0,0,0,71,1584,564,0,0,0,830,0,11,1,479,898,0,0,0,0,0,0
09-02,3569,412,1830,1417,322,226,165,21,22,1389,14,23,188,0,386,1547,0,145,0,1,8,0,26,232,245,2310,1014,8,318,86,1694,1,27,2,721,1124,215,0,0,0,79,118
02-05,1085,0,510,523,52,0,0,0,30,41,1,6,44,0,66,897,0,0,0,0,0,0,0,0,22,857,206,0,0,0,277,0,6,1,350,451,0,0,0,0,0,0
01-13,1550,0,724,697,129,0,0,0,9,167,3,11,41,0,109,1210,0,0,0,0,0,0,0,0,41,1095,414,0,0,0,747,1,8,1,142,651,0,0,0,0,0,0
06-08,2341,605,1163,1015,163,326,255,24,54,369,6,12,116,0,197,1587,5,71,3,1,12,0,23,490,103,1556,682,16,473,116,797,0,19,1,526,998,220,0,5,0,141,239
01-25,741,0,311,275,155,0,0,0,3,432,2,6,28,0,153,117,0,0,0,0,0,0,0,0,17,398,326,0,0,0,399,0,6,2,30,304,0,0,0,0,0,0
15-03,5454,2,2619,2401,434,0,1,1,43,580,16,15,198,1,477,4124,0,0,0,0,0,0,0,2,252,3813,1389,0,1,1,1307,0,38,2,1951,2156,0,0,0,0,1,1
10-05,3721,104,1831,1617,273,57,38,9,36,1021,9,21,118,0,359,2157,0,18,0,0,2,0,6,78,157,2589,975,5,72,27,1310,1,39,1,1058,1312,32,0,1,0,38,33
01-46,2643,0,1297,972,374,0,0,0,66,1312,9,27,191,1,488,549,0,0,0,0,0,0,0,0,247,1412,984,0,0,0,1403,0,24,0,206,1010,0,0,0,0,0,0
01-07A,273,0,138,108,27,0,0,0,7,173,2,3,13,0,25,50,0,0,0,0,0,0,0,0,10,166,97,0,0,0,191,0,3,0,25,54,0,0,0,0,0,0
04-03,1978,1,955,869,154,1,0,0,64,240,3,16,142,0,180,1333,0,0,0,0,0,0,0,1,112,1336,530,0,1,0,701,1,18,1,385,872,0,0,0,0,1,0
13-06,2932,0,1499,1208,225,0,0,0,63,382,11,15,151,0,261,2049,0,0,0,0,0,0,0,0,126,2061,745,0,0,0,965,1,28,3,683,1252,0,0,0,0,0,0
01-41,2152,0,818,1024,310,0,0,0,59,275,6,11,104,1,344,1352,0,0,0,0,0,0,0,0,98,1400,654,0,0,0,905,1,11,0,218,1017,0,0,0,0,0,0
13-07,2290,0,1118,914,258,0,0,0,121,777,6,23,164,0,331,868,0,0,0,0,0,0,0,0,171,1406,713,0,0,0,1107,1,11,5,330,836,0,0,0,0,0,0
14-01,836,0,398,369,69,0,0,0,5,44,8,2,14,0,79,684,0,0,0,0,0,0,0,0,11,600,225,0,0,0,172,0,6,1,330,327,0,0,0,0,0,0
04-08,2517,0,1215,1071,231,0,0,0,195,364,12,18,169,0,253,1506,0,0,0,0,0,0,0,0,95,1680,742,0,0,0,923,1,20,1,364,1208,0,0,0,0,0,0
07-07A,601,0,399,178,24,0,0,0,3,0,0,0,1,0,22,575,0,0,0,0,0,0,0,0,1,501,99,0,0,0,269,0,1,0,155,176,0,0,0,0,0,0
01-04,1052,0,544,453,55,0,0,0,8,7,1,3,3,0,68,962,0,0,0,0,0,0,0,0,5,820,227,0,0,0,339,0,5,1,287,420,0,0,0,0,0,0
