precinct_abbrv,total,voted_total,gender_F,gender_M,gender_U,gender_F_voted,gender_M_voted,gender_U_voted,race_A,race_B,race_I,race_M,race_O,race_P,race_U,race_W,race_A_voted,race_B_voted,race_I_voted,race_M_voted,race_O_voted,race_P_voted,race_U_voted,race_W_voted,ethnic_HL,ethnic_NL,ethnic_UN,ethnic_HL_voted,ethnic_NL_voted,ethnic_UN_voted,party_DEM,party_LIB,party_REP,party_UNA,party_DEM_voted,party_LIB_voted,party_REP_voted,party_UNA_voted
05-01,4184,403,2036,1755,393,219,165,19,293,461,11,35,217,0,467,2700,31,49,0,1,25,0,24,273,165,2692,1327,7,270,126,1344,30,945,1865,167,2,72,162
10-02,4066,242,2073,1619,374,132,102,8,46,1258,15,27,173,1,532,2014,3,40,1,1,3,0,12,182,261,2602,1203,3,197,42,1636,27,1072,1331,70,0,96,76
01-34,1952,0,846,677,429,0,0,0,3,1066,1,26,30,0,471,355,0,0,0,0,0,0,0,0,39,950,963,0,0,0,1115,6,55,776,0,0,0,0
20-05,4315,44,2101,1877,337,25,16,3,200,199,13,18,172,0,355,3358,0,4,1,0,1,0,2,36,71,3051,1193,0,33,11,1129,29,1247,1910,18,0,13,13
01-16,2874,0,1500,1139,235,0,0,0,55,342,3,26,77,0,268,2103,0,0,0,0,0,0,0,0,87,2037,750,0,0,0,1288,12,596,978,0,0,0,0
20-06B,3620,1117,1792,1614,214,572,521,24,59,94,5,13,85,0,253,3111,15,26,2,3,23,0,49,999,95,2553,972,15,841,261,937,27,970,1686,359,3,297,458
18-07,3633,0,1719,1698,216,0,0,0,60,267,14,18,99,1,251,2923,0,0,0,0,0,0,0,0,112,2686,835,0,0,0,909,28,1282,1414,0,0,0,0
09-02,3516,336,1862,1354,300,196,130,10,28,1350,18,27,140,0,392,1561,0,130,0,2,3,0,19,182,217,2263,1036,6,264,66,1737,26,726,1027,203,0,50,83
05-08,4139,871,1804,1750,585,395,406,70,879,578,30,30,305,0,599,1718,235,68,10,3,68,0,73,414,130,2387,1622,14,573,284,1585,39,550,1965,291,5,109,466
18-06,4092,0,1884,1687,521,0,0,0,205,529,16,38,206,0,563,2535,0,0,0,0,0,0,0,0,128,2685,1279,0,0,0,1565,39,645,1843,0,0,0,0
10-06,5189,504,2627,2042,520,257,218,29,88,1737,10,50,214,0,639,2451,6,43,2,4,8,0,22,419,346,3306,1537,8,378,118,2297,39,1002,1851,168,2,137,197
13-01,5653,0,2810,2079,764,0,0,0,182,2471,14,62,288,2,888,1746,0,0,0,0,0,0,0,0,351,3380,1922,0,0,0,3039,38,638,1938,0,0,0,0
19-20,3705,520,1799,1610,296,266,227,27,94,660,9,20,146,0,340,2436,6,158,1,3,17,0,22,313,135,2657,913,9,402,109,1202,25,1096,1382,221,2,128,169
10-05,3479,32,1710,1525,244,14,17,1,30,970,10,23,81,0,336,2029,0,8,0,0,0,0,3,21,125,2445,909,0,21,11,1283,33,1039,1124,11,1,10,10
08-10,2841,0,1406,1198,237,0,0,0,102,378,6,34,109,0,276,1936,0,0,0,0,0,0,0,0,93,2014,734,0,0,0,984,22,654,1181,0,0,0,0
04-01,2283,1,1217,903,163,0,1,0,56,225,6,13,85,0,194,1704,0,0,0,0,0,0,0,1,72,1573,638,0,1,0,860,15,476,932,0,0,0,1
05-07,7693,1172,3529,3274,890,534,545,93,2069,837,46,69,712,0,991,2969,365,94,10,6,114,0,101,482,256,4572,2865,26,769,377,2599,52,1019,4023,420,2,140,610
01-20,2755,0,1249,1173,333,0,0,0,48,1063,4,34,63,0,362,1181,0,0,0,0,0,0,0,0,72,1686,997,0,0,0,1548,22,178,1007,0,0,0,0
20-08,5075,1346,2454,2218,403,689,613,44,361,329,5,28,250,0,460,3642,43,56,2,3,43,0,48,1151,156,3460,1459,22,1036,288,1474,45,1279,2277,402,10,415,519
04-07,2781,0,1366,1300,115,0,0,0,64,40,1,12,88,0,152,2424,0,0,0,0,0,0,0,0,39,2182,560,0,0,0,680,11,1028,1062,0,0,0,0
20-15,4652,3,2165,1813,674,2,1,0,783,700,28,29,295,0,689,2128,0,0,0,1,0,0,0,2,183,2738,1731,0,0,3,1605,47,730,2270,1,0,2,0
02-03,3012,0,1420,1438,154,0,0,0,38,84,6,11,71,0,182,2620,0,0,0,0,0,0,0,0,34,2426,552,0,0,0,691,21,1122,1178,0,0,0,0
01-30,1309,0,647,596,66,0,0,0,12,18,1,2,17,0,88,1171,0,0,0,0,0,0,0,0,13,1037,259,0,0,0,441,11,380,477,0,0,0,0
02-05,1043,0,491,498,54,0,0,0,22,34,1,5,38,0,67,876,0,0,0,0,0,0,0,0,21,837,185,0,0,0,264,7,346,426,0,0,0,0
17-07,3716,0,1875,1475,366,0,0,0,90,2095,7,39,204,0,555,726,0,0,0,0,0,0,0,0,291,2237,1188,0,0,0,2324,19,288,1085,0,0,0,0
01-42,2707,1,1388,1180,139,1,0,0,49,168,2,16,84,0,180,2208,0,1,0,0,0,0,0,0,45,2133,529,0,0,1,785,24,912,986,0,0,0,1
01-12,1880,0,967,780,133,0,0,0,28,86,0,16,39,0,137,1574,0,0,0,0,0,0,0,0,25,1383,472,0,0,0,676,20,438,746,0,0,0,0
05-05,7297,1,3578,2736,983,0,0,1,408,1744,32,60,340,0,1011,3702,0,1,0,0,0,0,0,0,240,4613,2444,0,0,1,2936,63,1357,2941,1,0,0,0
07-10,5205,0,2590,2083,532,0,0,0,134,747,16,35,204,0,606,3463,0,0,0,0,0,0,0,0,165,3553,1487,0,0,0,2015,53,1040,2097,0,0,0,0
